Year,Lg,State,Champion,Runner-Up,Finals MVP,,Points,Rebounds,Assists,Win Shares
2022,NBA,CA,Golden State Warriors,Boston Celtics,S. Curry,,J. Tatum (615),A. Horford (214),J. Tatum (148),J. Butler (3.8)
2021,NBA,WI,Milwaukee Bucks,Phoenix Suns,G. Antetokounmpo,,G. Antetokounmpo (634),G. Antetokounmpo (269),J. Holiday (199),G. Antetokounmpo (3.7)
2020,NBA,CA,Los Angeles Lakers,Miami Heat,L. James,,A. Davis (582),L. James (226),L. James (184),A. Davis (4.5)
2018,NBA,CA,Golden State Warriors,Cleveland Cavaliers,K. Durant,,L. James (748),D. Green (222),L. James (198),L. James (5.2)
2017,NBA,CA,Golden State Warriors,Cleveland Cavaliers,K. Durant,,L. James (591),K. Love (191),L. James (141),L. James (4.3)
2016,NBA,OH,Cleveland Cavaliers,Golden State Warriors,L. James,,K. Thompson (582),D. Green (228),R. Westbrook (198),L. James (4.7)
2015,NBA,CA,Golden State Warriors,Cleveland Cavaliers,A. Iguodala,,L. James (601),D. Howard (238),L. James (169),S. Curry (3.9)
2014,NBA,TX,San Antonio Spurs,Miami Heat,K. Leonard,,K. Durant (563),T. Duncan (211),R. Westbrook (153),L. James (4.3)
2013,NBA,FL,Miami Heat,San Antonio Spurs,L. James,,L. James (596),T. Duncan (214),L. James (152),L. James (5.2)
2012,NBA,FL,Miami Heat,Oklahoma City Thunder,L. James,,L. James (697),L. James (224),R. Rondo (227),L. James (5.8)
2011,NBA,TX,Dallas Mavericks,Miami Heat,D. Nowitzki,,D. Nowitzki (582),T. Chandler (193),J. Kidd (153),L. James (3.8)
